CNumber,Target,Screen Conc(5.0-10.0),% Activity Remaining,Standard Deviation
133,HIPK1,5.0,48,1
133,HIPK2,5.0,15,1
133,HIPK3,5.0,33,10
133,MKK1,5.0,18,1
133,CLK2,5.0,48,4
133,ERK1,5.0,6,2
133,PAK2,5.0,2,0
133,ERK2,5.0,39,5
133,PAK4,5.0,45,6
133,JNK1,5.0,76,1
133,PAK5,5.0,49,14
133,JNK2,5.0,80,7
133,PAK6,5.0,45,6
133,MST2,5.0,6,0
133,p38 alpha MAPK,5.0,68,13
133,p38 beta MAPK,5.0,112,13
133,GCK,5.0,2,0
133,p38 gamma MAPK,5.0,99,4
133,MINK1,5.0,1,1
133,p38 delta MAPK,5.0,102,15
133,MEKK1,5.0,38,3
133,MLK1,5.0,4,1
133,MLK3,5.0,2,0
133,TAO1,5.0,102,3
133,ASK1,5.0,154,10
133,TAK1,5.0,15,7
133,IRAK4,5.0,9,1
133,RIPK2,5.0,114,10
133,TTK,5.0,40,5
133,Src,5.0,17,1
133,Lck,5.0,99,1
133,MKK2,5.0,48,6
133,MKK6,5.0,70,3
133,JNK3,5.0,77,8
73,Src,5.0,98,5
73,Lck,5.0,103,6
73,CSK,5.0,118,10
73,MKK1,5.0,86,4
73,ERK1,5.0,80,2
73,ERK2,5.0,93,3
73,JNK1,5.0,119,1
73,JNK2,5.0,105,1
73,JNK3,5.0,100,6
73,p38 alpha MAPK,5.0,112,13
73,p38 beta MAPK,5.0,97,10
73,p38 gamma MAPK,5.0,95,4
73,p38 delta MAPK,5.0,112,6
73,ERK8,5.0,87,5
73,RSK1,5.0,102,2
73,RSK2,5.0,128,3
73,PDK1,5.0,92,2
73,PKB alpha ,5.0,111,10
73,PKB beta ,5.0,87,6
73,SGK1,5.0,110,9
73,S6K1,5.0,92,2
73,PKA,5.0,102,6
73,ROCK 2,5.0,102,8
73,PRK2,5.0,74,3
73,PKC alpha ,5.0,77,4
73,PKC zeta ,5.0,102,0
73,PKD1,5.0,87,7
73,MSK1,5.0,101,8
73,MNK1,5.0,87,6
73,MNK2,5.0,108,3
73,MAPKAP-K2 ,5.0,117,0
73,MAPKAP-K3,5.0,120,1
73,PRAK,5.0,81,10
73,CAMKK beta ,5.0,74,7
73,CAMK1,5.0,96,5
73,SmMLCK,5.0,119,8
73,PHK,5.0,99,3
73,CHK1,5.0,97,5
73,CHK2,5.0,81,0
73,GSK3 beta ,5.0,56,3
73,CDK2-Cyclin A,5.0,44,1
73,PLK1,5.0,21,0
73,Aurora B,5.0,83,9
73,Aurora C,5.0,86,13
73,AMPK,5.0,105,0
73,MARK3,5.0,66,0
73,BRSK2,5.0,110,9
73,MELK,5.0,103,4
73,CK1 delta ,5.0,78,0
73,CK2,5.0,40,7
73,DYRK1A,5.0,91,4
73,DYRK2,5.0,95,7
73,DYRK3,5.0,69,5
73,NEK2a,5.0,90,12
73,NEK6,5.0,97,7
73,NEK7,5.0,90,0
73,IKK beta ,5.0,68,4
73,PIM1,5.0,11,1
73,PIM2,5.0,94,3
73,PIM3,5.0,19,0
73,SRPK1,5.0,111,3
73,MST2,5.0,92,7
73,EF2K,5.0,114,1
73,HIPK2,5.0,43,9
73,HIPK3,5.0,93,4
73,PAK4,5.0,84,5
73,PAK5,5.0,107,15
73,PAK6,5.0,104,6
73,FGF-R1,5.0,94,10
73,IRR,5.0,72,0
73,EPH-A2,5.0,142,1
73,MST4,5.0,78,10
73,SYK,5.0,110,5
73,YES1,5.0,95,2
73,IKK epsilon ,5.0,96,2
73,TBK1,5.0,116,5
73,CAMKK alpha ,5.0,None,None
288,SGK1,5.0,115,12
288,MST2,5.0,125,14
288,S6K1,5.0,106,2
288,MST3,5.0,88,7
288,PKA,5.0,103,2
288,MST4,5.0,94,17
288,ROCK 2,5.0,113,1
288,GCK,5.0,98,12
288,PRK2,5.0,102,9
288,MAP4K3,5.0,88,8
288,PKC alpha ,5.0,108,12
288,MAP4K5,5.0,97,4
288,PKC gamma ,5.0,121,4
288,MINK1,5.0,122,11
288,PKC zeta ,5.0,98,2
288,MEKK1,5.0,120,0
288,MLK1,5.0,95,5
288,PKD1,5.0,108,10
288,MLK3,5.0,116,7
288,TESK1,5.0,112,10
288,STK33,5.0,102,4
288,TAO1,5.0,103,7
288,ASK1,5.0,125,13
288,MSK1,5.0,106,13
288,TAK1,5.0,116,22
288,IRAK1,5.0,102,11
288,MNK1,5.0,94,1
288,IRAK4,5.0,97,5
288,RIPK2,5.0,112,4
288,MNK2,5.0,117,5
288,OSR1,5.0,118,25
288,TTK,5.0,106,3
288,MAPKAP-K2 ,5.0,64,11
288,MPSK1,5.0,106,5
288,WNK1,5.0,100,5
288,MAPKAP-K3,5.0,58,11
288,ULK1,5.0,110,5
288,CK2,5.0,106,15
288,ULK2,5.0,121,1
288,PRAK,5.0,112,22
288,Src,5.0,111,2
288,Lck,5.0,114,21
288,CAMKK beta ,5.0,84,32
288,CSK,5.0,98,2
288,YES1,5.0,109,9
288,CAMK1,5.0,104,1
288,ABL,5.0,110,1
288,BTK,5.0,85,9
288,SmMLCK,5.0,113,4
288,JAK2,5.0,98,3
288,SYK,5.0,105,3
288,PHK,5.0,108,2
288,ZAP70,5.0,104,3
288,TIE2,5.0,80,9
288,DAPK1,5.0,107,13
288,BRK,5.0,120,12
288,EPH-A2,5.0,99,1
288,CHK1,5.0,98,1
288,EPH-A4,5.0,87,4
288,EPH-B1,5.0,115,6
288,CHK2,5.0,121,7
288,EPH-B2,5.0,78,6
288,EPH-B3,5.0,115,2
288,GSK3 beta ,5.0,105,11
288,EPH-B4,5.0,114,20
288,FGF-R1,5.0,99,13
288,CDK2-Cyclin A,5.0,116,12
288,HER4,5.0,90,11
288,IGF-1R,5.0,109,10
288,CDK9-Cyclin T1,5.0,101,17
288,IR,5.0,106,30
288,IRR,5.0,95,3
288,PLK1,5.0,103,2
288,TrkA,5.0,83,3
288,DDR2,5.0,107,5
288,Aurora A,5.0,115,13
288,VEGFR1,5.0,98,5
288,PDGFRA,5.0,109,1
288,Aurora B,5.0,99,11
288,TLK1,5.0,115,8
288,LKB1,5.0,106,3
288,AMPK,5.0,98,1
288,AMPK (hum),5.0,107,4
288,MARK1,5.0,94,8
288,MARK2,5.0,102,6
288,MARK3,5.0,98,14
288,MARK4,5.0,93,5
288,BRSK1,5.0,108,5
288,BRSK2,5.0,89,20
288,MELK,5.0,100,3
288,NUAK1,5.0,111,3
288,SIK2,5.0,93,12
288,SIK3,5.0,104,7
288,TSSK1,5.0,93,7
288,CK1 gamma 2,5.0,101,8
288,CK1 delta ,5.0,92,21
288,TTBK1,5.0,103,2
288,TTBK2,5.0,100,12
288,DYRK1A,5.0,101,9
288,DYRK2,5.0,101,2
288,DYRK3,5.0,106,1
288,NEK2a,5.0,122,23
288,NEK6,5.0,82,2
288,IKK beta ,5.0,69,31
288,IKK epsilon ,5.0,108,9
288,TBK1,5.0,132,32
288,PIM1,5.0,108,6
288,PIM2,5.0,102,7
288,PIM3,5.0,121,7
288,SRPK1,5.0,106,10
288,EF2K,5.0,91,15
288,EIF2AK3,5.0,123,6
288,HIPK1,5.0,106,16
288,HIPK2,5.0,113,10
288,HIPK3,5.0,122,6
288,CLK2,5.0,93,2
288,PAK2,5.0,103,6
288,PAK4,5.0,104,2
288,PAK5,5.0,98,7
288,PAK6,5.0,115,14
288,MKK1,5.0,93,1
288,MKK2,5.0,109,1
288,MKK6,5.0,92,12
288,ERK1,5.0,103,4
288,ERK2,5.0,83,19
288,JNK1,5.0,102,10
288,JNK2,5.0,110,2
288,JNK3,5.0,134,8
288,p38 alpha MAPK,5.0,111,18
288,p38 beta MAPK,5.0,121,7
288,p38 gamma MAPK,5.0,115,7
288,p38 delta MAPK,5.0,113,13
288,ERK8,5.0,119,12
288,RSK1,5.0,112,1
288,RSK2,5.0,94,0
288,PDK1,5.0,98,3
288,PKB alpha ,5.0,106,12
288,PKB beta ,5.0,92,8
123,BRSK2,5.0,58,2
123,MELK,5.0,75,4
123,CK1 delta ,5.0,102,2
123,CK2,5.0,85,1
123,DYRK1A,5.0,92,2
123,DYRK2,5.0,71,1
123,DYRK3,5.0,54,5
123,NEK2a,5.0,90,6
123,NEK6,5.0,90,3
123,NEK7,5.0,77,9
123,IKK beta ,5.0,74,1
123,PIM1,5.0,86,7
123,PIM2,5.0,65,9
123,PIM3,5.0,74,2
123,SRPK1,5.0,91,0
123,MST2,5.0,70,8
123,EF2K,5.0,75,5
123,HIPK2,5.0,106,5
123,HIPK3,5.0,87,2
123,PAK4,5.0,64,3
123,PAK5,5.0,66,1
123,PAK6,5.0,63,3
123,Src,5.0,83,7
123,Lck,5.0,63,6
123,CSK,5.0,77,6
123,MKK1,5.0,66,2
123,ERK1,5.0,79,2
123,ERK2,5.0,81,6
123,JNK1,5.0,77,1
123,JNK2,5.0,84,2
123,JNK3,5.0,78,2
123,p38 alpha MAPK,5.0,48,1
123,p38 beta MAPK,5.0,64,1
123,p38 gamma MAPK,5.0,87,4
123,p38 delta MAPK,5.0,96,4
123,ERK8,5.0,71,4
123,RSK1,5.0,94,9
123,RSK2,5.0,83,0
123,PDK1,5.0,91,6
123,PKB alpha ,5.0,94,6
123,PKB beta ,5.0,81,6
123,SGK1,5.0,70,3
123,S6K1,5.0,82,1
123,PKA,5.0,52,0
123,ROCK 2,5.0,64,5
123,PRK2,5.0,97,4
123,PKC alpha ,5.0,83,8
123,PKC zeta ,5.0,65,4
123,PKD1,5.0,73,0
123,MSK1,5.0,76,5
123,MNK1,5.0,56,7
123,MNK2,5.0,74,1
123,MAPKAP-K2 ,5.0,98,5
123,MAPKAP-K3,5.0,79,2
123,PRAK,5.0,67,0
123,CAMKK alpha ,5.0,76,1
123,CAMKK beta ,5.0,91,1
123,CAMK1,5.0,81,1
123,SmMLCK,5.0,81,6
123,PHK,5.0,75,4
123,CHK1,5.0,98,3
123,CHK2,5.0,85,8
123,GSK3 beta ,5.0,62,5
123,CDK2-Cyclin A,5.0,89,0
123,PLK1,5.0,68,8
123,Aurora B,5.0,71,3
123,Aurora C,5.0,87,9
123,AMPK,5.0,58,6
123,MARK3,5.0,82,7
299,PKB alpha ,5.0,94,27
299,Aurora B,5.0,86,8
299,PKB beta ,5.0,91,10
299,TLK1,5.0,101,2
299,SGK1,5.0,98,8
299,LKB1,5.0,126,3
299,S6K1,5.0,96,21
299,AMPK,5.0,104,6
299,PKA,5.0,103,11
299,AMPK (hum),5.0,108,2
299,ROCK 2,5.0,90,16
299,MARK1,5.0,107,5
299,PRK2,5.0,85,20
299,MARK2,5.0,92,6
299,PKC alpha ,5.0,103,9
299,MARK3,5.0,120,9
299,PKC gamma ,5.0,78,2
299,MARK4,5.0,100,7
299,PKC zeta ,5.0,118,19
299,BRSK1,5.0,102,7
299,PKD1,5.0,105,12
299,BRSK2,5.0,102,3
299,STK33,5.0,101,11
299,MELK,5.0,106,3
299,MSK1,5.0,110,4
299,NUAK1,5.0,101,17
299,MNK1,5.0,98,4
299,SIK2,5.0,99,12
299,MNK2,5.0,102,6
299,SIK3,5.0,102,14
299,MAPKAP-K2 ,5.0,73,11
299,TSSK1,5.0,91,12
299,MAPKAP-K3,5.0,98,6
299,CK1 gamma 2,5.0,102,10
299,PRAK,5.0,88,5
299,CK1 delta ,5.0,93,4
299,CAMKK beta ,5.0,132,22
299,CK2,5.0,101,29
299,CAMK1,5.0,75,2
299,TTBK1,5.0,91,3
299,SmMLCK,5.0,74,24
299,TTBK2,5.0,99,9
299,PHK,5.0,105,9
299,DYRK1A,5.0,107,32
299,DAPK1,5.0,74,11
299,DYRK2,5.0,105,10
299,CHK1,5.0,101,1
299,DYRK3,5.0,107,3
299,CHK2,5.0,91,5
299,NEK2a,5.0,101,30
299,GSK3 beta ,5.0,97,10
299,NEK6,5.0,101,8
299,CDK2-Cyclin A,5.0,97,6
299,IKK beta ,5.0,82,4
299,CDK9-Cyclin T1,5.0,94,6
299,IKK epsilon ,5.0,93,6
299,PLK1,5.0,98,36
299,TBK1,5.0,98,4
299,Aurora A,5.0,82,28
299,PIM1,5.0,89,9
299,PIM2,5.0,112,4
299,PIM3,5.0,95,29
299,SRPK1,5.0,103,10
299,EF2K,5.0,101,21
299,EIF2AK3,5.0,92,5
299,HIPK1,5.0,107,10
299,HIPK2,5.0,90,6
299,HIPK3,5.0,100,16
299,CLK2,5.0,104,3
299,PAK2,5.0,95,2
299,PAK4,5.0,100,13
299,PAK5,5.0,95,3
299,PAK6,5.0,107,1
299,MST2,5.0,110,0
299,MST3,5.0,102,6
299,MST4,5.0,111,13
299,GCK,5.0,90,1
299,MAP4K3,5.0,78,7
299,MAP4K5,5.0,91,7
299,MINK1,5.0,106,0
299,MEKK1,5.0,95,13
299,MLK1,5.0,101,12
299,MLK3,5.0,110,7
299,TESK1,5.0,98,7
299,TAO1,5.0,104,9
299,ASK1,5.0,108,3
299,TAK1,5.0,134,17
299,IRAK1,5.0,96,34
299,IRAK4,5.0,95,22
299,RIPK2,5.0,107,11
299,OSR1,5.0,92,12
299,TTK,5.0,101,16
299,MPSK1,5.0,103,3
299,WNK1,5.0,102,3
299,ULK1,5.0,92,11
299,ULK2,5.0,96,2
299,TGFBR1,5.0,95,2
299,Src,5.0,81,6
299,Lck,5.0,93,9
299,CSK,5.0,105,1
299,YES1,5.0,111,2
299,ABL,5.0,92,8
299,BTK,5.0,101,10
299,JAK2,5.0,97,23
299,SYK,5.0,119,1
299,ZAP70,5.0,103,7
299,TIE2,5.0,104,1
299,BRK,5.0,104,16
299,EPH-A2,5.0,106,6
299,EPH-A4,5.0,138,25
299,EPH-B1,5.0,114,8
299,EPH-B2,5.0,124,20
299,EPH-B3,5.0,119,10
299,EPH-B4,5.0,104,0
299,FGF-R1,5.0,89,2
299,HER4,5.0,89,7
299,IGF-1R,5.0,117,14
299,IR,5.0,119,11
299,IRR,5.0,108,20
299,TrkA,5.0,102,16
299,DDR2,5.0,89,14
299,VEGFR1,5.0,91,7
299,PDGFRA,5.0,94,6
299,PINK,5.0,109,20
299,MKK1,5.0,115,2
299,MKK2,5.0,123,19
299,MKK6,5.0,94,7
299,ERK1,5.0,96,10
299,ERK2,5.0,106,2
299,ERK5,5.0,111,7
299,JNK1,5.0,96,13
299,JNK2,5.0,93,26
299,JNK3,5.0,87,7
299,p38 alpha MAPK,5.0,96,11
299,p38 beta MAPK,5.0,97,3
299,p38 gamma MAPK,5.0,104,4
299,p38 delta MAPK,5.0,93,11
299,ERK8,5.0,86,15
299,RSK1,5.0,85,5
299,RSK2,5.0,98,12
299,PDK1,5.0,99,16
