ID,CNumber,Target,Screen Conc(0.001),% Activity Remaining,Standard Deviation,Screen Conc(0.01),% Activity Remaining,Standard Deviation,Screen Conc(0.1),% Activity Remaining,Standard Deviation,Screen Conc(0.1-1.0),% Activity Remaining,Standard Deviation,Screen Conc(1.0),% Activity Remaining,Standard Deviation,Screen Conc(1.0-5.0),% Activity Remaining,Standard Deviation,Screen Conc(5.0-10.0),% Activity Remaining,Standard Deviation,Screen Conc(10.0),% Activity Remaining,Standard Deviation,Screen Conc(10.0-25.0),% Activity Remaining,Standard Deviation,Screen Conc(25.0),% Activity Remaining,Standard Deviation,Screen Conc(25.0-50.0),% Activity Remaining,Standard Deviation,Screen Conc(50.0),% Activity Remaining,Standard Deviation,Screen Conc(100.0),% Activity Remaining,Standard Deviation,Screen Conc(>100.0),% Activity Remaining,Standard Deviation
40,177,p38 delta MAPK,,,,,,,0.1,99,2,,,,1.0,114,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,177,ERK8,,,,,,,0.1,40,2,,,,1.0,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,177,RSK1,,,,,,,0.1,113,1,,,,1.0,90,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,177,RSK2,,,,,,,0.1,106,6,,,,1.0,70,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,177,PDK1,,,,,,,0.1,99,10,,,,1.0,76,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,177,PKB alpha ,,,,,,,0.1,111,9,,,,1.0,91,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,177,PKB beta ,,,,,,,0.1,86,9,,,,1.0,84,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,177,SGK1,,,,,,,0.1,106,2,,,,1.0,95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,177,S6K1,,,,,,,0.1,112,8,,,,1.0,82,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,177,PKA,,,,,,,0.1,99,7,,,,1.0,93,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,177,ROCK 2,,,,,,,0.1,116,13,,,,1.0,83,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,177,PRK2,,,,,,,0.1,102,2,,,,1.0,91,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,177,PKC alpha ,,,,,,,0.1,107,3,,,,1.0,85,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,177,PKC gamma ,,,,,,,0.1,87,4,,,,1.0,87,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,177,PKC zeta ,,,,,,,0.1,105,1,,,,1.0,99,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,177,PKD1,,,,,,,0.1,71,6,,,,1.0,31,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,177,STK33,,,,,,,0.1,120,13,,,,1.0,85,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,177,MSK1,,,,,,,0.1,107,25,,,,1.0,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,177,MNK1,,,,,,,0.1,55,0,,,,1.0,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,177,MNK2,,,,,,,0.1,41,3,,,,1.0,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,177,MAPKAP-K2 ,,,,,,,0.1,124,4,,,,1.0,79,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,177,MAPKAP-K3,,,,,,,0.1,113,18,,,,1.0,94,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,177,PRAK,,,,,,,0.1,66,7,,,,1.0,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,177,CAMKK beta ,,,,,,,0.1,87,4,,,,1.0,57,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,177,CAMK1,,,,,,,0.1,88,2,,,,1.0,105,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,177,SmMLCK,,,,,,,0.1,108,4,,,,1.0,80,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,177,PHK,,,,,,,0.1,100,2,,,,1.0,89,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,177,DAPK1,,,,,,,0.1,108,1,,,,1.0,94,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,177,CHK1,,,,,,,0.1,114,13,,,,1.0,92,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,177,CHK2,,,,,,,0.1,110,1,,,,1.0,87,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,177,GSK3 beta ,,,,,,,0.1,102,13,,,,1.0,74,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,177,CDK2-Cyclin A,,,,,,,0.1,119,7,,,,1.0,88,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,177,PLK1,,,,,,,0.1,103,1,,,,1.0,100,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,177,Aurora A,,,,,,,0.1,106,20,,,,1.0,105,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,177,Aurora B,,,,,,,0.1,94,1,,,,1.0,74,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,177,LKB1,,,,,,,0.1,138,6,,,,1.0,65,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,177,AMPK,,,,,,,0.1,100,7,,,,1.0,92,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,177,MARK1,,,,,,,0.1,112,16,,,,1.0,99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,177,MARK2,,,,,,,0.1,109,1,,,,1.0,114,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,177,MARK3,,,,,,,0.1,116,11,,,,1.0,77,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,177,MARK4,,,,,,,0.1,107,1,,,,1.0,86,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,177,BRSK1,,,,,,,0.1,113,12,,,,1.0,90,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,177,BRSK2,,,,,,,0.1,84,11,,,,1.0,88,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,177,MELK,,,,,,,0.1,95,11,,,,1.0,94,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,177,NUAK1,,,,,,,0.1,113,9,,,,1.0,78,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,177,CK1 delta ,,,,,,,0.1,102,4,,,,1.0,104,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,177,CK2,,,,,,,0.1,106,15,,,,1.0,77,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,177,DYRK1A,,,,,,,0.1,117,0,,,,1.0,97,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,177,DYRK2,,,,,,,0.1,114,5,,,,1.0,89,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,177,DYRK3,,,,,,,0.1,94,7,,,,1.0,101,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,177,NEK2a,,,,,,,0.1,108,0,,,,1.0,89,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,177,NEK6,,,,,,,0.1,122,5,,,,1.0,93,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,177,IKK beta ,,,,,,,0.1,102,17,,,,1.0,95,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,177,IKK epsilon ,,,,,,,0.1,120,4,,,,1.0,92,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,177,TBK1,,,,,,,0.1,105,1,,,,1.0,102,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,177,PIM1,,,,,,,0.1,102,1,,,,1.0,72,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,177,PIM2,,,,,,,0.1,91,7,,,,1.0,106,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,177,PIM3,,,,,,,0.1,126,6,,,,1.0,80,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,177,SRPK1,,,,,,,0.1,104,10,,,,1.0,88,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,177,EF2K,,,,,,,0.1,48,57,,,,1.0,85,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,177,HIPK1,,,,,,,0.1,102,11,,,,1.0,98,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,177,HIPK2,,,,,,,0.1,98,9,,,,1.0,82,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,177,HIPK3,,,,,,,0.1,90,2,,,,1.0,103,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,177,CLK2,,,,,,,0.1,96,17,,,,1.0,90,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,177,PAK2,,,,,,,0.1,104,5,,,,1.0,110,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,177,PAK4,,,,,,,0.1,94,11,,,,1.0,81,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,177,PAK5,,,,,,,0.1,96,9,,,,1.0,103,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,177,PAK6,,,,,,,0.1,100,5,,,,1.0,87,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,177,MST2,,,,,,,0.1,120,14,,,,1.0,89,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,177,MST4,,,,,,,0.1,129,6,,,,1.0,72,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,177,GCK,,,,,,,0.1,121,3,,,,1.0,80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,177,MINK1,,,,,,,0.1,101,9,,,,1.0,83,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,177,MEKK1,,,,,,,0.1,107,5,,,,1.0,92,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,177,MLK1,,,,,,,0.1,109,4,,,,1.0,75,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,177,MLK3,,,,,,,0.1,114,16,,,,1.0,79,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,177,TAO1,,,,,,,0.1,103,3,,,,1.0,66,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,177,ASK1,,,,,,,0.1,91,1,,,,1.0,95,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,177,TAK1,,,,,,,0.1,5,1,,,,1.0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,2,p38 beta MAPK,,,,,,,,,,,,,1.0,77,1,,,,,,,10.0,24,2,,,,,,,,,,,,,,,,,,
119,2,HIPK2,,,,,,,,,,,,,1.0,99,2,,,,,,,10.0,84,1,,,,,,,,,,,,,,,,,,
120,2,p38 gamma MAPK,,,,,,,,,,,,,1.0,97,0,,,,,,,10.0,81,2,,,,,,,,,,,,,,,,,,
121,2,HIPK3,,,,,,,,,,,,,1.0,101,3,,,,,,,10.0,105,0,,,,,,,,,,,,,,,,,,
122,2,p38 delta MAPK,,,,,,,,,,,,,1.0,108,1,,,,,,,10.0,80,2,,,,,,,,,,,,,,,,,,
123,2,PAK4,,,,,,,,,,,,,1.0,82,2,,,,,,,10.0,35,0,,,,,,,,,,,,,,,,,,
124,2,ERK8,,,,,,,,,,,,,1.0,81,1,,,,,,,10.0,58,4,,,,,,,,,,,,,,,,,,
125,2,PAK5,,,,,,,,,,,,,1.0,73,9,,,,,,,10.0,25,3,,,,,,,,,,,,,,,,,,
126,2,RSK1,,,,,,,,,,,,,1.0,89,2,,,,,,,10.0,53,4,,,,,,,,,,,,,,,,,,
127,2,PAK6,,,,,,,,,,,,,1.0,94,5,,,,,,,10.0,57,6,,,,,,,,,,,,,,,,,,
128,2,RSK2,,,,,,,,,,,,,1.0,95,1,,,,,,,10.0,71,1,,,,,,,,,,,,,,,,,,
129,2,Src,,,,,,,,,,,,,1.0,20,6,,,,,,,10.0,3,2,,,,,,,,,,,,,,,,,,
130,2,PDK1,,,,,,,,,,,,,1.0,97,5,,,,,,,10.0,97,3,,,,,,,,,,,,,,,,,,
131,2,Lck,,,,,,,,,,,,,1.0,30,0,,,,,,,10.0,6,1,,,,,,,,,,,,,,,,,,
132,2,PKB alpha ,,,,,,,,,,,,,1.0,102,9,,,,,,,10.0,50,0,,,,,,,,,,,,,,,,,,
133,2,CSK,,,,,,,,,,,,,1.0,31,1,,,,,,,10.0,5,1,,,,,,,,,,,,,,,,,,
134,2,PKB beta ,,,,,,,,,,,,,1.0,95,2,,,,,,,10.0,89,1,,,,,,,,,,,,,,,,,,
135,2,SGK1,,,,,,,,,,,,,1.0,101,5,,,,,,,10.0,91,2,,,,,,,,,,,,,,,,,,
136,2,S6K1,,,,,,,,,,,,,1.0,86,6,,,,,,,10.0,61,7,,,,,,,,,,,,,,,,,,
137,2,PKA,,,,,,,,,,,,,1.0,86,2,,,,,,,10.0,56,2,,,,,,,,,,,,,,,,,,
138,2,ROCK 2,,,,,,,,,,,,,1.0,86,1,,,,,,,10.0,30,0,,,,,,,,,,,,,,,,,,
139,2,PRK2,,,,,,,,,,,,,1.0,110,1,,,,,,,10.0,89,2,,,,,,,,,,,,,,,,,,
140,2,PKC alpha ,,,,,,,,,,,,,1.0,77,4,,,,,,,10.0,39,8,,,,,,,,,,,,,,,,,,
141,2,PKC zeta ,,,,,,,,,,,,,1.0,86,0,,,,,,,10.0,83,1,,,,,,,,,,,,,,,,,,
142,2,PKD1,,,,,,,,,,,,,1.0,35,2,,,,,,,10.0,8,3,,,,,,,,,,,,,,,,,,
143,2,MSK1,,,,,,,,,,,,,1.0,81,6,,,,,,,10.0,46,6,,,,,,,,,,,,,,,,,,
144,2,MNK1,,,,,,,,,,,,,1.0,109,1,,,,,,,10.0,95,1,,,,,,,,,,,,,,,,,,
145,2,MNK2,,,,,,,,,,,,,1.0,105,0,,,,,,,10.0,85,7,,,,,,,,,,,,,,,,,,
146,2,MAPKAP-K2 ,,,,,,,,,,,,,1.0,116,0,,,,,,,10.0,97,3,,,,,,,,,,,,,,,,,,
147,2,MAPKAP-K3,,,,,,,,,,,,,1.0,90,1,,,,,,,10.0,87,5,,,,,,,,,,,,,,,,,,
148,2,PRAK,,,,,,,,,,,,,1.0,88,7,,,,,,,10.0,76,0,,,,,,,,,,,,,,,,,,
149,2,CAMKK alpha ,,,,,,,,,,,,,1.0,94,5,,,,,,,10.0,76,8,,,,,,,,,,,,,,,,,,
150,2,MKK1,,,,,,,,,,,,,1.0,86,5,,,,,,,10.0,65,4,,,,,,,,,,,,,,,,,,
151,2,ERK1,,,,,,,,,,,,,1.0,103,1,,,,,,,10.0,69,1,,,,,,,,,,,,,,,,,,
152,2,ERK2,,,,,,,,,,,,,1.0,82,4,,,,,,,10.0,62,0,,,,,,,,,,,,,,,,,,
153,2,JNK1,,,,,,,,,,,,,1.0,92,4,,,,,,,10.0,93,1,,,,,,,,,,,,,,,,,,
154,2,JNK2,,,,,,,,,,,,,1.0,84,0,,,,,,,10.0,56,4,,,,,,,,,,,,,,,,,,
155,2,JNK3,,,,,,,,,,,,,1.0,93,3,,,,,,,10.0,87,3,,,,,,,,,,,,,,,,,,
156,2,p38 alpha MAPK,,,,,,,,,,,,,1.0,49,1,,,,,,,10.0,17,4,,,,,,,,,,,,,,,,,,
157,2,CAMKK beta ,,,,,,,,,,,,,1.0,90,1,,,,,,,10.0,72,6,,,,,,,,,,,,,,,,,,
158,2,CAMK1,,,,,,,,,,,,,1.0,83,3,,,,,,,10.0,63,2,,,,,,,,,,,,,,,,,,
159,2,SmMLCK,,,,,,,,,,,,,1.0,78,0,,,,,,,10.0,61,4,,,,,,,,,,,,,,,,,,
160,2,PHK,,,,,,,,,,,,,1.0,84,1,,,,,,,10.0,75,1,,,,,,,,,,,,,,,,,,
161,2,CHK1,,,,,,,,,,,,,1.0,97,8,,,,,,,10.0,95,2,,,,,,,,,,,,,,,,,,
162,2,CHK2,,,,,,,,,,,,,1.0,75,3,,,,,,,10.0,32,1,,,,,,,,,,,,,,,,,,
163,2,GSK3 beta ,,,,,,,,,,,,,1.0,95,1,,,,,,,10.0,77,0,,,,,,,,,,,,,,,,,,
164,2,CDK2-Cyclin A,,,,,,,,,,,,,1.0,94,3,,,,,,,10.0,55,1,,,,,,,,,,,,,,,,,,
165,2,PLK1,,,,,,,,,,,,,1.0,94,2,,,,,,,10.0,95,5,,,,,,,,,,,,,,,,,,
166,2,Aurora B,,,,,,,,,,,,,1.0,90,7,,,,,,,10.0,74,8,,,,,,,,,,,,,,,,,,
167,2,Aurora C,,,,,,,,,,,,,1.0,88,6,,,,,,,10.0,55,1,,,,,,,,,,,,,,,,,,
168,2,DYRK3,,,,,,,,,,,,,1.0,84,1,,,,,,,10.0,65,1,,,,,,,,,,,,,,,,,,
169,2,AMPK,,,,,,,,,,,,,1.0,81,6,,,,,,,10.0,73,2,,,,,,,,,,,,,,,,,,
170,2,NEK2a,,,,,,,,,,,,,1.0,99,4,,,,,,,10.0,95,4,,,,,,,,,,,,,,,,,,
171,2,MARK3,,,,,,,,,,,,,1.0,67,2,,,,,,,10.0,30,0,,,,,,,,,,,,,,,,,,
172,2,NEK6,,,,,,,,,,,,,1.0,98,8,,,,,,,10.0,91,7,,,,,,,,,,,,,,,,,,
173,2,NEK7,,,,,,,,,,,,,1.0,93,6,,,,,,,10.0,106,0,,,,,,,,,,,,,,,,,,
174,2,BRSK2,,,,,,,,,,,,,1.0,108,4,,,,,,,10.0,75,0,,,,,,,,,,,,,,,,,,
175,2,IKK beta ,,,,,,,,,,,,,1.0,92,1,,,,,,,10.0,95,3,,,,,,,,,,,,,,,,,,
176,2,PIM1,,,,,,,,,,,,,1.0,104,5,,,,,,,10.0,91,4,,,,,,,,,,,,,,,,,,
177,2,MELK,,,,,,,,,,,,,1.0,84,2,,,,,,,10.0,27,0,,,,,,,,,,,,,,,,,,
178,2,PIM2,,,,,,,,,,,,,1.0,100,5,,,,,,,10.0,104,0,,,,,,,,,,,,,,,,,,
179,2,PIM3,,,,,,,,,,,,,1.0,98,3,,,,,,,10.0,83,4,,,,,,,,,,,,,,,,,,
180,2,CK1 delta ,,,,,,,,,,,,,1.0,30,0,,,,,,,10.0,4,0,,,,,,,,,,,,,,,,,,
181,2,SRPK1,,,,,,,,,,,,,1.0,94,7,,,,,,,10.0,89,7,,,,,,,,,,,,,,,,,,
182,2,CK2,,,,,,,,,,,,,1.0,88,0,,,,,,,10.0,87,0,,,,,,,,,,,,,,,,,,
183,2,MST2,,,,,,,,,,,,,1.0,46,3,,,,,,,10.0,10,3,,,,,,,,,,,,,,,,,,
184,2,DYRK1A,,,,,,,,,,,,,1.0,91,4,,,,,,,10.0,77,8,,,,,,,,,,,,,,,,,,
185,2,EF2K,,,,,,,,,,,,,1.0,97,1,,,,,,,10.0,99,2,,,,,,,,,,,,,,,,,,
186,2,DYRK2,,,,,,,,,,,,,1.0,95,1,,,,,,,10.0,96,7,,,,,,,,,,,,,,,,,,
187,3,NEK6,,,,,,,,,,,,,1.0,94,3,,,,,,,10.0,110,1,,,,,,,,,,,,,,,,,,
188,3,NEK7,,,,,,,,,,,,,1.0,110,2,,,,,,,10.0,109,8,,,,,,,,,,,,,,,,,,
189,3,IKK beta ,,,,,,,,,,,,,1.0,98,2,,,,,,,10.0,95,0,,,,,,,,,,,,,,,,,,
190,3,PIM1,,,,,,,,,,,,,1.0,103,3,,,,,,,10.0,94,0,,,,,,,,,,,,,,,,,,
191,3,PIM2,,,,,,,,,,,,,1.0,101,4,,,,,,,10.0,103,2,,,,,,,,,,,,,,,,,,
192,3,PIM3,,,,,,,,,,,,,1.0,99,2,,,,,,,10.0,87,3,,,,,,,,,,,,,,,,,,
193,3,SRPK1,,,,,,,,,,,,,1.0,99,3,,,,,,,10.0,93,0,,,,,,,,,,,,,,,,,,
194,3,MST2,,,,,,,,,,,,,1.0,45,2,,,,,,,10.0,9,0,,,,,,,,,,,,,,,,,,
195,3,MKK1,,,,,,,,,,,,,1.0,112,2,,,,,,,10.0,76,6,,,,,,,,,,,,,,,,,,
196,3,EF2K,,,,,,,,,,,,,1.0,99,2,,,,,,,10.0,105,2,,,,,,,,,,,,,,,,,,
197,3,ERK1,,,,,,,,,,,,,1.0,84,5,,,,,,,10.0,45,1,,,,,,,,,,,,,,,,,,
198,3,HIPK2,,,,,,,,,,,,,1.0,95,4,,,,,,,10.0,71,3,,,,,,,,,,,,,,,,,,
199,3,ERK2,,,,,,,,,,,,,1.0,64,3,,,,,,,10.0,32,7,,,,,,,,,,,,,,,,,,
200,3,HIPK3,,,,,,,,,,,,,1.0,96,3,,,,,,,10.0,103,3,,,,,,,,,,,,,,,,,,
201,3,JNK1,,,,,,,,,,,,,1.0,90,0,,,,,,,10.0,85,4,,,,,,,,,,,,,,,,,,
202,3,PAK4,,,,,,,,,,,,,1.0,71,6,,,,,,,10.0,50,8,,,,,,,,,,,,,,,,,,
203,3,JNK2,,,,,,,,,,,,,1.0,78,1,,,,,,,10.0,63,4,,,,,,,,,,,,,,,,,,
204,3,PAK5,,,,,,,,,,,,,1.0,74,0,,,,,,,10.0,47,0,,,,,,,,,,,,,,,,,,
205,3,JNK3,,,,,,,,,,,,,1.0,98,8,,,,,,,10.0,79,1,,,,,,,,,,,,,,,,,,
206,3,PAK6,,,,,,,,,,,,,1.0,88,0,,,,,,,10.0,65,5,,,,,,,,,,,,,,,,,,
207,3,p38 alpha MAPK,,,,,,,,,,,,,1.0,41,2,,,,,,,10.0,8,1,,,,,,,,,,,,,,,,,,
208,3,Src,,,,,,,,,,,,,1.0,29,6,,,,,,,10.0,7,0,,,,,,,,,,,,,,,,,,
209,3,p38 beta MAPK,,,,,,,,,,,,,1.0,53,4,,,,,,,10.0,15,5,,,,,,,,,,,,,,,,,,
210,3,Lck,,,,,,,,,,,,,1.0,18,2,,,,,,,10.0,3,0,,,,,,,,,,,,,,,,,,
211,3,p38 gamma MAPK,,,,,,,,,,,,,1.0,95,0,,,,,,,10.0,98,2,,,,,,,,,,,,,,,,,,
212,3,CSK,,,,,,,,,,,,,1.0,36,2,,,,,,,10.0,6,1,,,,,,,,,,,,,,,,,,
