ID,CNumber,CAS,Aliases
70,3,221244-14-0,AC1NP9I6|mutant kinases inhibitor II|NM-PP1
71,3,221244-14-0,"1-(tert-butyl)-3-(naphthalen-1-ylmethyl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine"
72,3,221244-14-0,956025-48-2
73,3,221244-14-0,1-NM-PP 1
75,3,221244-14-0,"1-tert-butyl-3-(naphthalen-1-ylmethyl)pyrazolo[3,4-d]pyrimidin-4-amine"
76,3,221244-14-0,PP1 Analog II;1-NM-PP 1
77,3,221244-14-0,"4-AMINO-1-TERT-BUTYL-3-(1'-NAPHTHYLMETHYL)PYRAZOLO-[3,4-D]PYRIMIDINE"
78,3,221244-14-0,1NM-PP1(PP1 Analog II)
80,3,221244-14-0,"1-tert-butyl-3-(1-naphthylmethyl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine"
81,3,221244-14-0,0JN
82,3,221244-14-0,"4-amino-1-t-butyl-3-(1'-naphthylmethyl)pyrazolo[3,4-d]pyrimidine"
83,3,221244-14-0,"4-amino-1-tert-butyl-3-(1’-naphthylmethyl)pyrazolo[3,4-d]pyrimidine"
84,3,221244-14-0,MMV676599
85,293,452-06-2,2-Aminopurine
86,293,452-06-2,Purine
87,293,452-06-2,2-amino-
88,293,452-06-2,1H-Purin-2-amine
89,293,452-06-2,207-197-4
90,293,452-06-2,452-06-2
91,293,452-06-2,Benzoic acid
92,293,452-06-2,4-(aminomethyl)- (9CI)
93,293,452-06-2,2-AP
94,293,452-06-2,"SQ 22,451"
95,293,452-06-2,EINECS 207-197-4
96,293,452-06-2,3H-Purin-2-amine
97,293,452-06-2,9H-Purin-2-amine
98,293,452-06-2,9H-Purin-2-ylamine
99,293,452-06-2,purine-2-ylamine
100,293,452-06-2,2-amino purine
101,293,452-06-2,7H-Purin-2-amine
102,293,452-06-2,191236-69-8
103,293,452-06-2,41731-39-9
104,293,452-06-2,61655-24-1
105,293,452-06-2,2H-Purin-2-imine
106,293,452-06-2,"1,9-dihydro-"
107,293,452-06-2,2'-amino-purine
108,293,452-06-2,MFCD00005566
109,293,452-06-2,"1,3-Dihydro-2H-purin-2-imine"
111,293,452-06-2,"1,3-dihydro-"
112,293,452-06-2,aminopurine
113,293,452-06-2,purin-2-amine
114,293,452-06-2,"2-(dihydroxymethyl)-2,5-dihydrofuran-2,5-diol"
115,293,452-06-2,7H-Purin-2-amine (9CI)
117,293,452-06-2,"1,9-dihydro- (9CI)"
118,293,452-06-2,1H-Purin-2-amine (9CI)
119,293,452-06-2,849611-62-7
120,293,452-06-2,[452-06-2]
121,293,452-06-2,UO7475000
122,293,452-06-2,OR-1074
123,293,452-06-2,7H-Purin-2-ylamine
124,293,452-06-2,CHEMBL388594
125,293,452-06-2,BiomolKI_000044
126,293,452-06-2,BiomolKI2_000050
127,293,452-06-2,NCGC00163382-01
128,293,452-06-2,ST5298872
129,293,452-06-2,UNII-O14B3U97FW
130,293,452-06-2,UNII:O14B3U97FW
131,293,452-06-2,"1H-PURIN-2-AMINE,RADICAL ION(1-)"
132,293,452-06-2,2-Aminopurine (en)
133,293,452-06-2,'452-06-2
134,293,452-06-2,2BP
135,293,452-06-2,7h-purin-2-amine(wxc05878)
136,293,452-06-2,9h-purin-2-amine(wxc06803)
137,293,452-06-2,O14B3U97FW
138,293,452-06-2,1H-PURIN-2-AMINE|1H-PURIN-2-AMINE
139,293,452-06-2,2-AMINO PURINE|9H-PURIN-2-AMINE
140,293,452-06-2,2-AMINOPURINE|7H-PURIN-2-AMINE
141,293,452-06-2,Famciclovir Related Compound E
142,293,452-06-2,MFCD03853695
143,293,452-06-2,2-AP207-197-4MFCD00005566
144,5,552325-16-3,(S)-1-(5-(3-Methyl-1H-indazol-5-yl)pyridin-3-yloxy)-3-(1H-indol-3-yl)propan-2-amine
145,5,552325-16-3,A-443654
146,5,552325-16-3,A-4436554
147,5,552325-16-3,1H-Indole-3-ethanamine
148,5,552325-16-3,.alpha.-[[[5-(3-methyl-1H-indazol-5-yl)-3-pyridinyl]oxy]methyl]-
149,5,552325-16-3,(.alpha.S)-
150,5,552325-16-3,552325-16-3
151,5,552325-16-3,(S)-1-(1H-indol-3-yl)-3-((5-(3-methyl-1H-indazol-5-yl)pyridin-3-yl)oxy)propan-2-amine
152,5,552325-16-3,(2S)-1-(1H-indol-3-yl)-3-(5-(3-methyl-1H-indazol-5-yl)pyridin-3-yloxy)propan-2-Amine
153,5,552325-16-3,(2S)-1-(1H-Indol-3-yl)-3-{[5-(3-methyl-1H-indazol-5-yl)-3-pyridinyl]oxy}-2-propanamine
155,5,552325-16-3,alpha-[[[5-(3-methyl-1H-indazol-5-yl)-3-pyridinyl]oxy]methyl]-
156,5,552325-16-3,(alphaS)-
157,5,552325-16-3,A 443654
158,5,552325-16-3,a-443654 dihydrochloride
159,5,552325-16-3,911305-87-8
161,5,552325-16-3,A443654
162,5,552325-16-3,(2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE
163,5,552325-16-3,5-{5-[(2S)-2-amino-3-(1H-indol-3-yl)propoxy]pyridin-3-yl}-3-methyl-1H-indazole
164,5,552325-16-3,2-(1H-Indol-3-yl)-1-[5-(3-methyl-1H-indazol-5-yl)pyridin-3-yloxymethyl]ethylamine
165,5,552325-16-3,(2S)-1-(1H-indol-3-yl)-3-[5-(3-methyl-2H-indazol-5-yl)pyridin-3-yl]oxypropan-2-amine
166,5,552325-16-3,A 443654|A443654
167,5,552325-16-3,[552325-16-3]
168,5,552325-16-3,MFCD11840663
170,5,552325-16-3,(2S)-1-(1H-indol-3-yl)-3-[[5-(3-methyl-2H-indazol-5-yl)-3-pyridinyl]oxy]-2-propanamine
171,5,552325-16-3,Î±S-[[[5-(3-methyl-1H-indazol-5-yl)-3-pyridinyl]oxy]methyl]-1H-indole-3-ethanamine
172,6,844499-71-4,"4-hydroxy-3-(2'-hydroxybiphenyl-4-yl)-6-oxo-6,7-dihydrothieno[2,3-b]pyridine-5-carbonitrile"
173,6,844499-71-4,"Thieno[2,3-b]pyridine-5-carbonitrile"
174,6,844499-71-4,"6,7-dihydro-4-hydroxy-3-(2'-hydroxy[1,1'-biphenyl]-4-yl)-6-oxo-"
175,6,844499-71-4,A 769662
176,6,844499-71-4,[844499-71-4]
177,6,844499-71-4,"4-hydroxy-3-[4-(2-hydroxyphenyl)phenyl]-6-oxo-7-hydrothiopheno[2,3-b]pyridine-5-carbonitrile"
178,6,844499-71-4,"4-Hydroxy-3-(2'-hydroxy-1,1'-biphenyl-4-yl)-6-oxo-6,7-dihydrothieno[2,3-b]pyridine-5-carbonitrile"
179,6,844499-71-4,844499-71-4
180,6,844499-71-4,"6,7-Dihydro-4-hydroxy-3-(2'-hydroxy[1,1'-biphenyl]-4-yl )-6-oxo-thieno[2,3-b]pyridine-5-carbonitrile"
181,6,844499-71-4,"6,7-Dihydro-4-hydroxy-3-(2'-hydroxy[1,1'-biphenyl]-4-yl)-6-oxo-thieno[2,3-b]pyridine-5-carbonitrile"
182,6,844499-71-4,A-769662
183,6,844499-71-4,"4-hydroxy-3-[4-(2-hydroxyphenyl)phenyl]-6-oxo-7H-thieno[2,3-b]pyridine-5-carbonitrile"
184,6,844499-71-4,"4-hydroxy-3-(2'-hydroxy-[1,1'-biphenyl]-4-yl)-6-oxo-6,7-dihydrothieno[2,3-b]pyridine-5-carbonitrile"
185,6,844499-71-4,Hismanal |
186,6,844499-71-4,MFCD11977269
187,6,844499-71-4,"4-Hydroxy-3-(2'-hydroxy-4-biphenylyl)-6-oxo-6,7-dihydrothieno[2,3-b]pyridine-5-carbonitrile"
188,6,844499-71-4,A769662
189,6,844499-71-4,CHEMBL512504
190,6,844499-71-4,"6-hydroxy-3-[4-(2-hydroxyphenyl)phenyl]-4-oxo-7H-thieno[2,3-b]pyridine-5-carbonitrile"
191,6,844499-71-4,UNII-P68477CD2C
192,6,844499-71-4,UNII:P68477CD2C
193,6,844499-71-4,A-769662;A769662
194,6,844499-71-4,Not available
195,6,844499-71-4,"3-[4-(2-Hydroxyphenyl)phenyl]-4-Oxidanyl-6-Oxidanylidene-7h-Thieno[2,3-B]pyridine-5-Carbonitrile"
196,6,844499-71-4,C1V
197,6,844499-71-4,P68477CD2C
198,6,844499-71-4,"6,7-Dihydro-4-hydroxy-3-(2'-hydroxy[1,1'-biphenyl]-4-yl)-6-oxothieno[2,3-b]pyridine-5-carbonitrile"
199,6,844499-71-4,A 769662|A-769662
200,162,909910-43-6,A-83-01
201,162,909910-43-6,A 83-01
202,162,909910-43-6,909910-43-6
203,162,909910-43-6,3-(6-methylpyridin-2-yl)-N-phenyl-4-(quinolin-4-yl)-1H-pyrazole-1-carbothioamide
204,162,909910-43-6,[909910-43-6]
205,162,909910-43-6,1H-Pyrazole-1-carbothioamide
206,162,909910-43-6,3-(6-methyl-2-pyridinyl)-N-phenyl-4-(4-quinolinyl)-
207,162,909910-43-6,3-(6-methylpyridin-2-yl)-N-phenyl-4-quinolin-4-yl-1H-pyrazole-1-carbothioamide
208,162,909910-43-6,3-(6-Methyl-2-pyridinyl)-N-phenyl-4-(4-quinolinyl)-1H-pyrazole-1-carbothioamide
209,162,909910-43-6,A83-01
210,162,909910-43-6,R-L3 |
211,162,909910-43-6,3-(6-methylpyridin-2-yl)-N-phenyl-4-(quinolin-4-yl)-1H-pyrazole-1-carbothio amide
212,162,909910-43-6,A83-01;A-83-01
213,162,909910-43-6,MFCD08705403
214,162,909910-43-6,3-(6-methylpyridin-2-yl)-N-phenyl-4-quinolin-4-ylpyrazole-1-carbothioamide
215,162,909910-43-6,TGF-beta inhibitor A-83-01
216,162,909910-43-6,A 8301
217,162,909910-43-6,TGFá inhibitor A-83-01
218,162,909910-43-6,"1H-Pyrazole-1-carbothioamide,3-(6-methyl-2-pyridinyl)-N-phenyl-4-(4-quinolinyl)-"
219,162,909910-43-6,3-(6-Methyl-2-pyridinyl)-N-phenyl-4-(4-quinolinyl) -1H-pyrazole-1-carbothioamide
221,162,909910-43-6,3-(6-METHYL-PYRIDIN-2-YL)-N-PHENYL-4-(4-QUINOLINYL)-1H-PYRAZOLE-1-CARBOTHIOAMIDE
222,162,909910-43-6,3-(6-METHYLPYRIDIN-2-YL)-N-PHENYL-4-(QUINOLIN-4-YL)PYRAZOLE-1-CARBOTHIOAMIDE
224,162,909910-43-6,3-(6-Methylpyridin-2-yl)-N-phenyl-4-(quinolin-4-yl)-1H-pyrazol-1-carbothioamide
225,162,909910-43-6,Not available
226,162,909910-43-6,a8301
227,162,909910-43-6,culturesure a-83-01
228,144,146535-11-7,"6,7-dimethoxy-3-phenylquinoxaline"
229,144,146535-11-7,Quinozaline
230,144,146535-11-7,"6,7-dimethoxy-2-phenyl-"
231,144,146535-11-7,146535-11-7
232,144,146535-11-7,1489-12-9
233,144,146535-11-7,"6,7-Dimethoxy-2-phenylquinoxaline"
234,144,146535-11-7,AG1296
235,144,146535-11-7,C106250
236,144,146535-11-7,"6,7-Dimethoxy-2-phenyl-quinoxaline"
237,144,146535-11-7,Quinoxaline
239,144,146535-11-7,Tyrphostin AG 1296 (AG 1296)
240,144,146535-11-7,[146535-11-7]
241,144,146535-11-7,MFCD00270913
242,144,146535-11-7,"2-phenyl-6,7-dimethoxyquinoxaline"
243,144,146535-11-7,COc1cc2nc(cnc2cc1OC)c1ccccc1
244,154,153436-53-4,"N-(3-Chlorophenyl)-6,7-dimethoxy-4-quinazolinamine"
245,154,153436-53-4,153436-53-4
246,154,153436-53-4,PD153035
247,154,153436-53-4,"4-(3-Chloroanilino)-6,7-dimethoxyquinazoline"
248,154,153436-53-4,170449-18-0
249,154,153436-53-4,"N-(3-Chlorophenyl)-6,7-dimethoxyquinazolin-4-amine"
250,154,153436-53-4,RTKI cpd
251,154,153436-53-4,"N-(3-chlorophenyl)-N-(6,7-dimethoxy-4-quinazolinyl)amine"
252,154,153436-53-4,AG1478
253,154,153436-53-4,C101044
254,154,153436-53-4,4-Quinazolinamine
255,154,153436-53-4,"N-(3-chlorophenyl)-6,7-dimethoxy-"
256,154,153436-53-4,"n-(3-chlorphenyl)-6,7-dimethoxy-4-chinazolinamin"
257,154,153436-53-4,"(3-Chloro-phenyl)-(6,7-dimethoxy-quinazolin-4-yl)-amine"
258,154,153436-53-4,"4-(3'-chloroanilino)-6,7-dimethoxyquinazoline hydrochloride"
259,154,153436-53-4,175178-82-2
260,154,153436-53-4,"PD-153,035"
261,154,153436-53-4,"6,7-Dimethoxy-4-[N-(3-chlorophenyl)amino]quinazoline hydrochloride"
262,154,153436-53-4,"4-(3-Chloro-benzyl)-6,7-dimethoxy-quinazoline"
263,154,153436-53-4,AG-1478 (Tyrphostin AG-1478)
265,154,153436-53-4,170449-18-0 (HCl)
266,154,153436-53-4,"N-(3-chlorophenyl)-6,7-dimethoxy-quinazolin-4-amine"
267,154,153436-53-4,MFCD00270914
268,154,153436-53-4,Tyrphostin
269,154,153436-53-4,[175178-82-2]
270,154,153436-53-4,"4-Quinazolinamine,N-(3-chlorophenyl)-6,7-dimethoxy-"
271,154,153436-53-4,'175178-82-2
272,154,153436-53-4,0TO
273,154,153436-53-4,ag-1478 (tyrphostin ag1478)
274,154,153436-53-4,atoms 22 bonds 24
275,7,133550-30-8,2-Propenamide
276,7,133550-30-8,Tyrphostin deriv. 42
277,7,133550-30-8,Tyrphostin  AG  490
278,7,133550-30-8,"N-Benzyl-2-cyano-3-(3,4-dihydroxyphenyl)acrylamide"
279,7,133550-30-8,Tyrphostin- AG- 490
280,7,133550-30-8,tyrphostin AG-490
281,7,133550-30-8,133550-30-8
282,7,133550-30-8,"(E)-N-benzyl-2-cyano-3-(3,4-dihydroxyphenyl)acrylamide"
283,7,133550-30-8,AG 490
284,7,133550-30-8,AG-490
285,7,133550-30-8,AG490
286,7,133550-30-8,C095512
287,7,133550-30-8,"alpha-cyano-(3,4-dihydroxy)-N-benzylcinnamide"
288,7,133550-30-8,"n-benzyl-3,4-dihydroxy-benzylidenecyanoacetamide"
289,7,133550-30-8,Tyrphostin B42
290,7,133550-30-8,134036-52-5
291,7,133550-30-8,"(E)-2-Cyano-3-(3,4-dihydrophenyl)-N-(phenylmethyl)-2-propenamide"
292,7,133550-30-8,"(2E)-N-Benzyl-2-cyano-3-(3,4-dihydroxyphenyl)acrylamide"
293,7,133550-30-8,"(E)-N-Benzyl-2-cyano-3-(3,4-dihydroxy-phenyl)-acrylamide"
294,7,133550-30-8,"N-Benzyl-2-cyano-3-(3,4-dihydroxy-phenyl)-acrylamide"
295,7,133550-30-8,Tyrphostin AG 490
297,7,133550-30-8,"2-cyano-3-(3,4-dihydroxyphenyl)-N-(phenylmethyl)-"
298,7,133550-30-8,"A-Cyano-(3,4-dihydroxy)-N-benzylcinnamide"
299,7,133550-30-8,[133550-30-8]
300,7,133550-30-8,"(2E)-N-benzyl-2-cyano-3-(3,4-dihydroxyphenyl)prop-2-enamide"
301,7,133550-30-8,"(2E)-3-(3,4-dihydroxyphenyl)-2-cyano-N-benzylprop-2-enamide"
302,7,133550-30-8,Tyrphostin AG490
303,7,133550-30-8,AG 490 (Tyrphostin AG 490)
304,7,133550-30-8,Tyrphostin AG 490 |
305,7,133550-30-8,"2-cyano-3-(3,4-dihydroxyphenyl)-N-(phenylmethyl)-2-propenamide"
308,7,133550-30-8,"(E)-N-Benzyl-2-cyano-3-(3,4-dihydro"
309,7,133550-30-8,xy-phenyl)-acrylamide
310,7,133550-30-8,MFCD00209833
311,7,133550-30-8,"a-cyano-(3,4-dihydroxy)-n-benzylcinnamamide"
312,7,133550-30-8,"(E)-N-benzyl-2-cyano-3-(3,4-dihydroxyphenyl)prop-2-enamide"
313,7,133550-30-8,Tyrphostin B 42
316,7,133550-30-8,MFCD00236452
317,7,133550-30-8,TyrphostinB42
318,7,133550-30-8,UC6316197
319,7,133550-30-8,"2-Propenamide,2-cyano-3-(3,4-dihydroxyphenyl)-N-(phenylmethyl)-"
320,7,133550-30-8,"2-Propenamide,2-cyano-3-(3,4-dihydroxyphenyl)-N-(phenylmethyl)-,(2E)-"
321,7,133550-30-8,"N-benzyl-2-cyano-3-(3,4-dihydroxyphenyl)prop-2-enamide"
324,7,133550-30-8,"(E)-2-cyano-3-(3,4-dihydroxyphenyl)-N-(phenylmethyl)-2-propenamide"
325,7,133550-30-8,AG-490|tyrphostin AG490|tyrphostin B42
326,7,133550-30-8,"2-Cyano-3-(3,4-dihydroxyphenyl)-N-(benzyl)-2-propenamide"
327,7,133550-30-8,AG-490 (Tyrphostin B42)
328,7,133550-30-8,"2-cyano-3-(1-cyclohexa-1,5-dienyl)-N-(phenylmethyl)-2-propenamide"
329,7,133550-30-8,AG 490;Tyrphostin AG 490;AG490
330,7,133550-30-8,NOCAS_40960
331,7,133550-30-8,'134036-52-5
332,7,133550-30-8,ag 490(tyrphostin b42)
333,7,133550-30-8,ag-490(tyrphostin b42)
334,7,133550-30-8,ag490(tyrphostinb42)
335,7,133550-30-8,AG 490|Tyrphostin B 42
336,8,148741-30-4,Tyrphostin AG 879
337,8,148741-30-4,"alpha-cyano-(3,5-di-t-butyl-4-hydroxy)thiocinnamide"
338,8,148741-30-4,2-Propenethioamide
339,8,148741-30-4,"3-(3,5-bis(1,1-dimethylethyl)-4-hydroxyphenyl)-2-cyano-"
340,8,148741-30-4,148741-30-4
341,8,148741-30-4,"(2E)-2-Cyano-3-(3,5-di-tert-butyl-4-hydroxyphenyl)prop-2-enethioamide"
343,8,148741-30-4,"3-[3,5-bis(1,1-dimethylethyl)-4-hydroxyphenyl]-2-cyano-"
344,8,148741-30-4,"(2E)-3-[3,5-Bis(1,1-dimethylethyl)-4-hydroxyphenyl]-2-cyano-2-propenethioamide"
345,8,148741-30-4,Tyrphostin AG 879 (AG 879)
346,8,148741-30-4,Tyrphostin AG 879 |
347,8,148741-30-4,"3-[3,5-bis(1,1-dimethylethyl)-4-hydroxyphenyl]-2-cyano-2E-propenethioamide"
348,8,148741-30-4,"2-Propenethioamide,3-[3,5-bis(1,1-dimethylethyl)-4-hydroxyphenyl]-2-cyano-"
349,8,148741-30-4,"(2E)-2-Cyano-3-[4-hydroxy-3,5-bis(2-methyl-2-propanyl)phenyl]-2-propenethioamide"
350,8,148741-30-4,"2-CYANO-3-(3,5-DI-TERT-BUTYL-4-HYDROXYPHENYL)PROP-2-ENETHIOAMIDE"
351,8,148741-30-4,"2-Propenethioamide,3-[3,5-bis(1,1-dimethylethyl)-4-hydroxyphenyl]-2-cyano-,(2E)-"
352,8,148741-30-4,'148741-30-4
353,8,148741-30-4,"(E)-3-amino-2-[(3,5-ditert-butyl-4-oxocyclohexa-2,5-dien-1-ylidene)methyl]-3-sulfanylprop-2-enenitrile"
354,8,148741-30-4,AG879
355,8,148741-30-4,tyrphostin AG879
356,8,148741-30-4,AG 879|AG-879|tyrphostin AG879
357,8,148741-30-4,[148741-30-4]
358,8,148741-30-4,MFCD00236450
359,8,148741-30-4,"Î±-Cyano-(3,5-di-t-butyl-4-hydroxy)thiocinnamide"
360,8,148741-30-4,"(E)-2-Cyano-3-(3,5-di-tert-butyl-4-hydroxyphenyl)prop-2-enethioamide"
363,8,148741-30-4,TYRPHOSTIN  AG 879
364,148,681281-88-9,"5-(1,3-benzothiazol-2-yl)-3-ethyl-2-{2-[methyl(phenyl)amino]vinyl}-1-phenyl-1H-benzimidazol-3-ium iodide"
365,148,681281-88-9,"5-(1,3-benzothiazol-2-yl)-3-ethyl-2-{(E)-2-[methyl(phenyl)amino]ethenyl}-1-phenyl-1H-3,1-benzimidazol-3-ium iodide"
366,148,681281-88-9,6-benzothiazol-2-yl-1-ethyl-2-[2-(methyl-phenylamino)-vinyl]-3-phenyl-3H-benzoimidazol-1-ium iodid
367,148,681281-88-9,"1H-3,1-benzimidazolium"
368,148,681281-88-9,5-(2-benzothiazolyl)-3-ethyl-2-[(E)-2-(methylphenylamino)ethenyl]-1-phenyl-
369,148,681281-88-9,iodide (1:1)
370,148,681281-88-9,GNF-PF-254
371,148,681281-88-9,GNF-PF-3619
372,148,681281-88-9,681281-88-9
373,148,681281-88-9,B2311
374,148,681281-88-9,1H-Benzimidazolium
377,148,681281-88-9,"5-(1,3-Benzothiazol-2-yl)-3-ethyl-2-{(E)-2-[methyl(phenyl)amino]vinyl}-1-phenyl-1H-benzimidazol-3-ium iodide"
378,148,681281-88-9,"5-(1,3-benzothiazol-2-yl)-3-ethyl-2-[(E)-2-[methyl(phenyl)amino]ethenyl]-1-phenyl-1H-1,3-benzodiazol-3-ium iodide"
379,148,681281-88-9,5-(2-BENZOTHIAZOLYL)-3-ETHYL-2-(-(METHY
380,148,681281-88-9,cid_5719375
381,148,681281-88-9,[681281-88-9]
382,148,681281-88-9,MFCD00570739
383,148,681281-88-9,Akt Inhibitor IV
384,148,681281-88-9,5-(Benzo[d]thiazol-2-yl)-3-ethyl-2-(2-(methyl(phenyl)amino)vinyl)-1-phenyl-1H-benzo[d]imidazol-3-ium iodide
385,148,681281-88-9,959841-49-7
386,148,681281-88-9,6-(2-benzothiazolyl)-1-ethyl-2-[2-(methylphenylamino)ethenyl]-3-phenyl-1H-benzimidazolium
387,148,681281-88-9,monoiodide
388,148,681281-88-9,AKTIV
389,9,612847-09-3,"1,3-Dihydro-1-(1-((4-(6-phenyl-1H-imidazo[4,5-g]quinoxalin-7-yl)phenyl)methyl)-4-piperidinyl)-2H-benzimidazol-2-one"
390,9,612847-09-3,"1-{1-[4-(7-phenyl-1H-imidazo[4,5-g]quinoxalin-6-yl)benzyl]piperidin-4-yl}-1,3-dihydro-2H-benzimidazol-2-one"
391,9,612847-09-3,2H-benzimidazol-2-one
392,9,612847-09-3,"1,3-dihydro-1-[1-[[4-(7-phenyl-1H-imidazo[4,5-g]quinoxalin-6-yl)phenyl]methyl]-4-piperidinyl]-"
393,9,612847-09-3,"1-(1-((4-(7-Phenyl-1H-imidazo[4,5-g]quinoxalin-6-yl)phenyl)methyl)piperidin-4-yl)-1H-benzo[d]imidazol-2(3H)-one"
394,9,612847-09-3,"1-{1-[4-(7-Phenyl-1H-imidazo[4,5-g]quinoxalin-6-yl)-benzyl]-piperidin-4-yl}-1,3-dihydro-benzoimidazol-2-one"
395,9,612847-09-3,612847-09-3
396,9,612847-09-3,"1,3-Dihydro-1-(1-((4-(6-phenyl-1h-imidazo(4,5-g)quinoxalin-7-yl)phenyl)methyl)-4-piperidinyl)-2h-benzimidazol-2-one"
397,9,612847-09-3,"1-(1-(4-(6-phenyl-1H-imidazo[4,5-g]quinoxalin-7-yl)benzyl)piperidin-4-yl)-1H-benzo[d]imidazol-2(3H)-one"
398,9,612847-09-3,Desvenlafaxine |
