CNumber,Target,Screen Conc(0.01),% Activity Remaining,Standard Deviation
19,IRAK4,0.01,None,None
24,JNK2,0.01,123,9
24,p38 alpha MAPK,0.01,86,1
24,p38 beta MAPK,0.01,100,3
24,p38 gamma MAPK,0.01,87,2
24,p38 delta MAPK,0.01,89,6
24,ERK8,0.01,49,1
24,RSK1,0.01,75,13
24,RSK2,0.01,65,2
24,PDK1,0.01,62,3
24,PKB alpha ,0.01,76,6
24,PKB beta ,0.01,82,11
24,SGK1,0.01,86,4
24,S6K1,0.01,91,10
24,PKA,0.01,87,8
24,ROCK 2,0.01,90,3
24,PRK2,0.01,61,4
24,PKC alpha ,0.01,113,1
24,PKC zeta ,0.01,84,2
24,PKD1,0.01,55,2
24,MSK1,0.01,87,0
24,MNK1,0.01,87,2
24,MNK2,0.01,86,6
24,MAPKAP-K2 ,0.01,86,1
24,PRAK,0.01,90,4
24,CAMKK beta ,0.01,90,5
24,CAMK1,0.01,116,15
24,SmMLCK,0.01,89,5
24,PHK,0.01,66,5
24,CHK1,0.01,66,22
24,CHK2,0.01,7,7
24,GSK3 beta ,0.01,92,7
24,CDK2-Cyclin A,0.01,87,3
24,PLK1,0.01,82,8
24,AMPK,0.01,25,4
24,MARK3,0.01,61,2
24,BRSK2,0.01,21,3
24,MELK,0.01,47,1
24,CK1 delta ,0.01,94,0
24,CK2,0.01,91,10
24,DYRK1A,0.01,91,13
24,DYRK2,0.01,59,0
24,DYRK3,0.01,74,4
24,NEK2a,0.01,92,2
24,NEK6,0.01,84,6
24,IKK beta ,0.01,74,0
24,PIM1,0.01,98,2
24,PIM2,0.01,92,4
24,PIM3,0.01,73,3
24,SRPK1,0.01,96,2
24,MST2,0.01,36,2
24,EF2K,0.01,101,8
24,HIPK2,0.01,82,3
24,PAK4,0.01,85,11
24,PAK5,0.01,83,24
24,PAK6,0.01,102,0
24,Src,0.01,79,4
24,Lck,0.01,95,15
24,CSK,0.01,97,9
24,FGF-R1,0.01,61,4
24,IRR,0.01,75,7
24,EPH-A2,0.01,101,15
24,MST4,0.01,80,5
24,SYK,0.01,104,5
24,YES1,0.01,60,9
24,IKK epsilon ,0.01,84,7
24,TBK1,0.01,83,5
24,IGF-1R,0.01,63,34
24,VEGFR1,0.01,50,1
24,BTK,0.01,85,4
24,IR,0.01,102,7
24,EPH-B3,0.01,99,2
24,MKK1,0.01,33,1
24,ERK1,0.01,89,8
24,ERK2,0.01,95,8
24,JNK1,0.01,117,18
26,PKA,0.01,101,1
26,AMPK,0.01,51,0
26,ROCK 2,0.01,90,6
26,MARK1,0.01,None,None
26,PRK2,0.01,79,4
26,MARK2,0.01,None,None
26,PKC alpha ,0.01,105,1
26,MARK3,0.01,12,0
26,PKC zeta ,0.01,95,11
26,MARK4,0.01,None,None
26,PKD1,0.01,83,3
26,BRSK1,0.01,None,None
26,MSK1,0.01,88,0
26,BRSK2,0.01,91,3
26,MNK1,0.01,80,7
26,MELK,0.01,95,3
26,MNK2,0.01,46,3
26,NUAK1,0.01,None,None
26,MAPKAP-K2 ,0.01,107,8
26,CK1 delta ,0.01,78,4
26,MAPKAP-K3,0.01,102,6
26,CK2,0.01,93,10
26,PRAK,0.01,96,5
26,DYRK1A,0.01,94,7
26,CAMKK beta ,0.01,82,5
26,DYRK2,0.01,104,9
26,CAMK1,0.01,86,10
26,DYRK3,0.01,85,9
26,SmMLCK,0.01,110,5
26,NEK2a,0.01,91,6
26,PHK,0.01,94,12
26,NEK6,0.01,95,3
26,CHK1,0.01,83,5
26,IKK beta ,0.01,108,2
26,CHK2,0.01,90,0
26,IKK epsilon ,0.01,40,6
26,GSK3 beta ,0.01,82,14
26,TBK1,0.01,25,2
26,CDK2-Cyclin A,0.01,56,6
26,PIM1,0.01,102,7
26,PLK1,0.01,94,6
26,PIM2,0.01,108,2
26,Aurora B,0.01,17,1
26,PIM3,0.01,95,7
26,Aurora C,0.01,26,3
26,SRPK1,0.01,98,11
26,EF2K,0.01,97,5
26,HIPK1,0.01,None,None
26,HIPK2,0.01,95,11
26,HIPK3,0.01,94,1
26,CLK2,0.01,None,None
26,PAK2,0.01,None,None
26,PAK4,0.01,90,14
26,PAK5,0.01,97,2
26,PAK6,0.01,91,2
26,MST2,0.01,95,2
26,MST4,0.01,126,11
26,NEK7,0.01,110,7
26,GCK,0.01,None,None
26,MINK1,0.01,None,None
26,MEKK1,0.01,None,None
26,MLK1,0.01,None,None
26,MLK3,0.01,None,None
26,TAK1,0.01,None,None
26,MKK1,0.01,49,3
26,IRAK4,0.01,None,None
26,ERK1,0.01,81,8
26,RIPK2,0.01,None,None
26,ERK2,0.01,88,3
26,TTK,0.01,None,None
26,JNK1,0.01,103,6
26,Src,0.01,90,4
26,JNK2,0.01,100,12
26,Lck,0.01,97,3
26,JNK3,0.01,93,3
26,CSK,0.01,113,11
26,p38 alpha MAPK,0.01,85,2
26,YES1,0.01,90,6
26,p38 beta MAPK,0.01,93,13
26,BTK,0.01,107,4
26,p38 gamma MAPK,0.01,94,2
26,JAK2,0.01,None,None
26,p38 delta MAPK,0.01,90,5
26,SYK,0.01,89,9
26,ERK8,0.01,40,3
26,FGF-R1,0.01,84,11
26,EPH-A2,0.01,109,7
26,RSK1,0.01,100,6
26,IRR,0.01,89,0
26,EPH-A4,0.01,None,None
26,RSK2,0.01,100,9
26,EPH-B2,0.01,None,None
26,PDK1,0.01,29,2
26,EPH-B3,0.01,110,6
26,PKB alpha ,0.01,90,14
26,EPH-B4,0.01,None,None
26,PKB beta ,0.01,112,6
26,SGK1,0.01,86,6
26,HER4,0.01,None,None
26,S6K1,0.01,100,3
26,IGF-1R,0.01,108,8
26,IR,0.01,85,13
26,TrkA,0.01,None,None
26,VEGFR1,0.01,75,10
26,CAMKK alpha ,0.01,85,13
26,DAPK1,0.01,None,None
26,Aurora A,0.01,None,None
26,LKB1,0.01,None,None
158,EPH-B3,0.01,106,11
158,p38 delta MAPK,0.01,106,2
158,ZAP70,0.01,None,None
158,PLK1,0.01,95,5
158,Aurora A,0.01,112,7
158,Aurora B,0.01,105,6
158,BRK,0.01,None,None
158,TLK1,0.01,None,None
158,LKB1,0.01,104,8
158,AMPK,0.01,107,2
158,MARK1,0.01,None,None
158,MARK2,0.01,113,1
158,PIM3,0.01,105,4
158,MARK3,0.01,113,5
158,SRPK1,0.01,106,5
158,MARK4,0.01,106,7
158,EF2K,0.01,108,2
158,BRSK1,0.01,110,17
158,EIF2AK3,0.01,None,None
158,BRSK2,0.01,114,2
158,HIPK1,0.01,102,3
158,MELK,0.01,115,12
158,HIPK2,0.01,119,1
158,NUAK1,0.01,120,19
158,HIPK3,0.01,111,2
158,PKC alpha ,0.01,104,4
158,SIK2,0.01,None,None
158,CLK2,0.01,None,None
158,ERK8,0.01,106,12
158,SIK3,0.01,None,None
158,PAK2,0.01,105,8
158,TSSK1,0.01,None,None
158,PAK4,0.01,108,1
158,CK1 gamma 2,0.01,None,None
158,PAK5,0.01,97,2
158,CK1 delta ,0.01,100,1
158,PAK6,0.01,108,7
158,CK2,0.01,103,0
158,MST2,0.01,116,4
158,TTBK1,0.01,None,None
158,MST3,0.01,None,None
158,DYRK1A,0.01,102,2
158,MST4,0.01,112,7
158,DYRK2,0.01,100,3
158,GCK,0.01,109,3
158,DYRK3,0.01,100,19
158,MINK1,0.01,121,4
158,NEK2a,0.01,118,15
158,MEKK1,0.01,None,None
158,NEK6,0.01,98,6
158,MLK1,0.01,110,1
158,IKK beta ,0.01,105,3
158,MLK3,0.01,100,5
158,IKK epsilon ,0.01,114,9
158,TESK1,0.01,None,None
158,TBK1,0.01,110,6
158,TAO1,0.01,None,None
158,PIM1,0.01,99,1
158,ASK1,0.01,None,None
158,PIM2,0.01,97,7
158,TAK1,0.01,None,None
158,IRAK1,0.01,None,None
158,IRAK4,0.01,109,0
158,MKK1,0.01,86,17
158,RSK1,0.01,123,12
158,RIPK2,0.01,110,1
158,ERK1,0.01,93,5
158,OSR1,0.01,None,None
158,ERK2,0.01,117,8
158,TTK,0.01,90,1
158,JNK1,0.01,92,3
158,MPSK1,0.01,None,None
158,JNK2,0.01,117,6
158,WNK1,0.01,None,None
158,JNK3,0.01,106,7
158,Src,0.01,101,5
158,p38 alpha MAPK,0.01,105,5
158,Lck,0.01,112,18
158,p38 beta MAPK,0.01,113,6
158,CSK,0.01,103,7
158,p38 gamma MAPK,0.01,109,6
158,YES1,0.01,122,1
158,ABL,0.01,None,None
158,BTK,0.01,126,9
158,JAK2,0.01,None,None
158,RSK2,0.01,96,20
158,SYK,0.01,109,14
158,PDK1,0.01,62,8
158,PKB alpha ,0.01,179,71
158,PKB beta ,0.01,125,11
158,SGK1,0.01,96,1
158,S6K1,0.01,111,4
158,CDK9-Cyclin T1,0.01,None,None
158,PKA,0.01,103,13
158,TIE2,0.01,None,None
158,ROCK 2,0.01,96,4
158,PRK2,0.01,90,10
158,PKC zeta ,0.01,113,0
158,PKD1,0.01,99,5
158,MSK1,0.01,102,0
158,MNK1,0.01,106,14
158,MNK2,0.01,91,2
158,EPH-A2,0.01,110,4
158,MAPKAP-K2 ,0.01,104,2
158,MAPKAP-K3,0.01,112,18
158,PRAK,0.01,81,2
158,CAMKK beta ,0.01,112,9
158,CAMK1,0.01,108,3
158,SmMLCK,0.01,116,6
158,PHK,0.01,106,8
158,CHK1,0.01,111,11
158,CHK2,0.01,129,25
158,GSK3 beta ,0.01,108,4
158,CDK2-Cyclin A,0.01,104,3
158,EPH-B1,0.01,None,None
158,EPH-A4,0.01,None,None
158,MKK2,0.01,None,None
158,MKK6,0.01,None,None
158,IGF-1R,0.01,126,35
158,IR,0.01,101,8
158,IRR,0.01,111,4
158,HER4,0.01,106,10
158,FGF-R1,0.01,119,3
158,VEGFR1,0.01,98,6
158,EPH-B4,0.01,None,None
158,PKC gamma ,0.01,None,None
158,TrkA,0.01,None,None
158,DDR2,0.01,None,None
158,STK33,0.01,None,None
158,DAPK1,0.01,None,None
158,EPH-B2,0.01,None,None
286,SRPK1,0.01,96,3
286,EF2K,0.01,95,30
286,EIF2AK3,0.01,91,4
286,HIPK1,0.01,69,6
286,HIPK2,0.01,119,29
286,HIPK3,0.01,80,3
286,CLK2,0.01,97,14
286,PAK2,0.01,87,19
286,PAK4,0.01,116,2
286,PAK5,0.01,95,7
286,PAK6,0.01,94,2
286,MST2,0.01,112,6
286,MST3,0.01,105,2
286,MST4,0.01,100,3
286,GCK,0.01,103,3
286,MINK1,0.01,94,3
286,MEKK1,0.01,94,15
286,MLK1,0.01,101,5
286,MLK3,0.01,105,6
286,TESK1,0.01,82,5
286,TAO1,0.01,85,6
286,ASK1,0.01,110,16
286,TAK1,0.01,121,21
286,IRAK1,0.01,98,7
286,IRAK4,0.01,90,7
286,RIPK2,0.01,77,6
286,OSR1,0.01,101,1
286,TTK,0.01,100,3
286,MPSK1,0.01,106,2
286,WNK1,0.01,100,13
286,Src,0.01,45,4
286,Lck,0.01,63,16
286,CSK,0.01,119,2
286,YES1,0.01,34,2
286,ABL,0.01,87,6
286,BTK,0.01,91,0
286,JAK2,0.01,99,2
286,SYK,0.01,112,10
286,ZAP70,0.01,96,1
286,TIE2,0.01,116,8
286,BRK,0.01,97,12
286,EPH-A2,0.01,51,4
286,MKK1,0.01,107,1
286,EPH-A4,0.01,71,12
286,MKK2,0.01,101,6
286,EPH-B1,0.01,62,4
286,MKK6,0.01,110,22
286,EPH-B2,0.01,109,10
286,ERK1,0.01,104,3
286,EPH-B3,0.01,108,5
286,ERK2,0.01,103,11
286,EPH-B4,0.01,110,4
286,JNK1,0.01,94,8
286,FGF-R1,0.01,102,9
286,JNK2,0.01,103,2
286,HER4,0.01,90,8
286,JNK3,0.01,93,7
286,IGF-1R,0.01,120,38
286,p38 alpha MAPK,0.01,121,8
286,IR,0.01,115,10
286,p38 beta MAPK,0.01,89,6
286,IRR,0.01,113,6
286,p38 gamma MAPK,0.01,110,1
286,TrkA,0.01,98,16
286,p38 delta MAPK,0.01,102,0
286,DDR2,0.01,17,1
286,ERK8,0.01,108,16
286,VEGFR1,0.01,95,1
286,RSK1,0.01,106,10
286,RSK2,0.01,100,1
286,PDK1,0.01,112,10
286,PKB alpha ,0.01,98,9
286,PKB beta ,0.01,83,11
286,SGK1,0.01,94,7
286,S6K1,0.01,88,10
286,PKA,0.01,91,17
286,ROCK 2,0.01,90,4
286,PRK2,0.01,106,25
286,PKC alpha ,0.01,102,14
286,PKC gamma ,0.01,101,4
286,PKC zeta ,0.01,97,12
286,PKD1,0.01,96,17
286,STK33,0.01,113,6
286,MSK1,0.01,104,2
286,MNK1,0.01,109,4
286,MNK2,0.01,107,10
286,MAPKAP-K2 ,0.01,101,2
286,MAPKAP-K3,0.01,96,8
286,PRAK,0.01,119,6
286,CAMKK beta ,0.01,105,16
286,CAMK1,0.01,97,11
286,SmMLCK,0.01,99,13
286,PHK,0.01,125,2
286,DAPK1,0.01,98,21
286,CHK1,0.01,95,3
286,CHK2,0.01,89,12
286,GSK3 beta ,0.01,107,29
286,CDK2-Cyclin A,0.01,120,12
286,CDK9-Cyclin T1,0.01,104,8
286,PLK1,0.01,98,16
286,Aurora A,0.01,98,10
286,Aurora B,0.01,93,5
286,TLK1,0.01,98,4
286,LKB1,0.01,108,10
286,AMPK,0.01,97,3
286,MARK1,0.01,88,8
286,MARK2,0.01,101,9
286,MARK3,0.01,92,0
286,MARK4,0.01,120,6
286,BRSK1,0.01,103,13
286,BRSK2,0.01,99,24
286,MELK,0.01,105,4
286,NUAK1,0.01,97,0
286,SIK2,0.01,62,1
286,SIK3,0.01,83,0
286,TSSK1,0.01,108,0
286,CK1 gamma 2,0.01,96,3
286,CK1 delta ,0.01,89,2
286,CK2,0.01,98,9
286,TTBK1,0.01,100,13
286,DYRK1A,0.01,100,3
286,DYRK2,0.01,89,6
286,DYRK3,0.01,92,10
286,NEK2a,0.01,112,4
286,NEK6,0.01,102,6
286,IKK beta ,0.01,83,14
286,IKK epsilon ,0.01,112,25
286,TBK1,0.01,101,1
286,PIM1,0.01,107,6
286,PIM2,0.01,109,36
286,PIM3,0.01,103,15
254,TLK1,0.01,95,5
254,LKB1,0.01,119,10
254,AMPK,0.01,105,2
254,MARK1,0.01,101,5
254,MARK2,0.01,90,7
254,MARK3,0.01,98,5
254,MARK4,0.01,103,1
254,BRSK1,0.01,90,17
254,BRSK2,0.01,114,11
254,MELK,0.01,92,2
254,NUAK1,0.01,93,5
254,SIK2,0.01,106,9
254,SIK3,0.01,102,4
254,TSSK1,0.01,112,9
254,CK1 gamma 2,0.01,100,10
254,CK1 delta ,0.01,116,5
254,CK2,0.01,123,1
254,TTBK1,0.01,89,4
254,DYRK1A,0.01,98,1
254,DYRK2,0.01,109,4
254,DYRK3,0.01,113,6
254,NEK2a,0.01,103,11
254,NEK6,0.01,97,19
254,IKK beta ,0.01,103,3
254,IKK epsilon ,0.01,108,9
254,TBK1,0.01,110,7
254,PIM1,0.01,90,6
254,PIM2,0.01,93,3
254,PIM3,0.01,92,7
254,SRPK1,0.01,111,19
254,EF2K,0.01,91,6
254,EIF2AK3,0.01,105,6
254,HIPK1,0.01,111,9
254,HIPK2,0.01,96,12
254,HIPK3,0.01,104,1
254,CLK2,0.01,94,2
254,PAK2,0.01,99,1
254,PAK4,0.01,81,9
254,PAK5,0.01,102,0
254,PAK6,0.01,92,1
254,MST2,0.01,97,6
254,MST3,0.01,106,10
254,MST4,0.01,96,9
254,GCK,0.01,114,7
254,MINK1,0.01,106,7
254,MEKK1,0.01,112,1
254,MLK1,0.01,112,12
254,MLK3,0.01,91,20
254,TESK1,0.01,120,36
254,TAO1,0.01,106,3
254,ASK1,0.01,105,12
254,TAK1,0.01,101,5
254,IRAK1,0.01,97,4
254,IRAK4,0.01,112,3
254,RIPK2,0.01,104,10
254,OSR1,0.01,104,3
254,TTK,0.01,101,4
254,MPSK1,0.01,94,5
254,WNK1,0.01,94,2
254,ULK1,0.01,91,2
254,ULK2,0.01,94,3
254,Src,0.01,96,15
254,Lck,0.01,79,6
254,CSK,0.01,97,25
254,YES1,0.01,87,0
254,ABL,0.01,96,6
254,BTK,0.01,105,9
254,JAK2,0.01,84,2
254,SYK,0.01,112,26
254,ZAP70,0.01,99,20
254,TIE2,0.01,122,14
254,BRK,0.01,101,12
254,EPH-A2,0.01,97,3
254,EPH-A4,0.01,109,10
254,EPH-B1,0.01,97,5
254,EPH-B2,0.01,124,15
254,MKK1,0.01,101,3
254,EPH-B3,0.01,118,19
254,MKK2,0.01,74,0
254,EPH-B4,0.01,109,1
254,MKK6,0.01,59,0
254,FGF-R1,0.01,118,7
254,ERK1,0.01,111,5
254,HER4,0.01,132,24
254,ERK2,0.01,96,9
254,IGF-1R,0.01,103,14
254,JNK1,0.01,104,14
254,IR,0.01,112,18
254,JNK2,0.01,105,14
254,IRR,0.01,104,2
254,JNK3,0.01,89,11
254,TrkA,0.01,97,0
254,p38 alpha MAPK,0.01,108,18
254,DDR2,0.01,91,11
254,p38 beta MAPK,0.01,88,6
254,VEGFR1,0.01,65,15
254,p38 gamma MAPK,0.01,100,1
254,p38 delta MAPK,0.01,101,6
254,ERK8,0.01,80,14
254,RSK1,0.01,97,22
254,RSK2,0.01,129,16
254,PDK1,0.01,89,5
254,PKB alpha ,0.01,109,2
254,PKB beta ,0.01,105,2
254,SGK1,0.01,93,2
254,S6K1,0.01,87,11
254,PKA,0.01,91,10
254,ROCK 2,0.01,91,5
254,PRK2,0.01,93,8
254,PKC alpha ,0.01,88,15
254,PKC gamma ,0.01,103,17
254,PKC zeta ,0.01,97,11
254,PKD1,0.01,89,13
254,STK33,0.01,113,9
254,MSK1,0.01,108,11
254,MNK1,0.01,100,6
254,MNK2,0.01,91,2
254,MAPKAP-K2 ,0.01,93,7
254,MAPKAP-K3,0.01,105,19
254,PRAK,0.01,74,11
254,CAMKK beta ,0.01,102,10
254,CAMK1,0.01,96,0
254,SmMLCK,0.01,108,7
254,PHK,0.01,100,7
254,DAPK1,0.01,82,18
254,CHK1,0.01,93,15
254,CHK2,0.01,91,3
254,GSK3 beta ,0.01,91,5
254,CDK2-Cyclin A,0.01,91,6
254,CDK9-Cyclin T1,0.01,97,5
254,PLK1,0.01,102,0
254,Aurora A,0.01,106,5
254,Aurora B,0.01,90,5
